tamMatriz,tempoSequencial,tempo2Thread,speedup2Thread,eficiencia2Thread,delta2Thread,tempo4Thread,speedup4Thread,eficiencia4Thread,delta4Thread,tempo8Thread,speedup8Thread,eficiencia8Thread,delta8Thread,tempoMPI,speedupMPI,eficienciaMPI,deltaMPI
128,0.000241,0.000815,0.295408,0.147704,0.000000e+00,6.807290e-04,3.537502e-01,8.843754e-02,0.000000e+00,7.789940e-04,3.091269e-01,3.864086e-02,0.000000e+00,0.000289,0.833053,0.416526,0.000000e+00
256,0.001739,0.002478,0.701674,0.350837,0.000000e+00,2.420928e-03,7.183535e-01,1.795884e-01,0.000000e+00,2.497891e-03,6.962201e-01,8.702752e-02,0.000000e+00,0.001116,1.558164,0.779082,0.000000e+00
512,0.014219,0.019775,0.719029,0.359514,0.000000e+00,2.058557e-02,6.907048e-01,1.726762e-01,0.000000e+00,1.994018e-02,7.130604e-01,8.913255e-02,0.000000e+00,0.015015,0.946987,0.473493,0.000000e+00
1024,0.127452,0.162468,0.784476,0.392238,0.000000e+00,1.653310e-01,7.708918e-01,1.927230e-01,0.000000e+00,1.716481e-01,7.425211e-01,9.281513e-02,0.000000e+00,0.078054,1.632868,0.816434,0.000000e+00
2048,1.274279,1.383226,0.921237,0.460619,0.000000e+00,1.429491e+00,8.914216e-01,2.228554e-01,0.000000e+00,1.603317e+00,7.947764e-01,9.934705e-02,0.000000e+00,0.744771,1.710967,0.855483,0.000000e+00
4096,10.421853,34.486004,0.302205,0.151103,0.000000e+00,1.299836e+01,8.017821e-01,2.004455e-01,0.000000e+00,1.435559e+01,7.259786e-01,9.074733e-02,0.000000e+00,9.454464,1.102321,0.551160,0.000000e+00
128,0.000320,0.000956,0.335062,0.167531,0.000000e+00,9.675640e-04,3.310231e-01,8.275576e-02,0.000000e+00,8.222970e-04,3.895016e-01,4.868770e-02,0.000000e+00,0.000224,1.431331,0.357833,0.000000e+00
256,0.001826,0.002374,0.769134,0.384567,0.000000e+00,2.533867e-03,7.207355e-01,1.801839e-01,0.000000e+00,2.567600e-03,7.112666e-01,8.890832e-02,0.000000e+00,0.001442,1.266480,0.316620,0.000000e+00
512,0.019012,0.022167,0.857683,0.428842,0.000000e+00,1.201451e-02,1.582413e+00,3.956033e-01,0.000000e+00,1.853080e-02,1.025964e+00,1.282455e-01,0.000000e+00,0.014231,1.335962,0.333991,0.000000e+00
1024,0.126019,0.116046,1.085942,0.542971,0.000000e+00,9.684691e-02,1.301218e+00,3.253045e-01,0.000000e+00,5.625162e-02,2.240273e+00,2.800341e-01,0.000000e+00,0.059696,2.111015,0.527754,0.000000e+00
2048,1.513626,1.130587,1.338796,0.669398,0.000000e+00,9.878279e-01,1.532277e+00,3.830692e-01,0.000000e+00,5.480237e-01,2.761972e+00,3.452465e-01,0.000000e+00,0.521063,2.904879,0.726220,0.000000e+00
4096,17.887037,14.931298,1.197956,0.598978,0.000000e+00,1.385606e+01,1.290918e+00,3.227296e-01,0.000000e+00,1.185510e+01,1.508805e+00,1.886007e-01,0.000000e+00,8.214351,2.177535,0.544384,0.000000e+00
128,0.000152,0.000632,0.240712,0.120356,0.000000e+00,6.338050e-04,2.398892e-01,5.997231e-02,0.000000e+00,1.412697e-02,1.076261e-02,1.345326e-03,0.000000e+00,0.000209,0.729066,0.091133,0.000000e+00
256,0.001720,0.002507,0.686337,0.343168,0.000000e+00,2.545835e-03,6.757928e-01,1.689482e-01,0.000000e+00,1.770805e-02,9.715675e-02,1.214459e-02,0.000000e+00,0.000913,1.885063,0.235633,0.000000e+00
512,0.018550,0.021897,0.847125,0.423562,0.000000e+00,1.230559e-02,1.507415e+00,3.768538e-01,0.000000e+00,2.634994e-02,7.039726e-01,8.799657e-02,0.000000e+00,0.008653,2.143829,0.267979,0.000000e+00
1024,0.158326,0.179168,0.883676,0.441838,0.000000e+00,1.134664e-01,1.395359e+00,3.488397e-01,0.000000e+00,1.042485e-01,1.518739e+00,1.898424e-01,0.000000e+00,0.049480,3.199807,0.399976,0.000000e+00
2048,1.548508,1.616522,0.957926,0.478963,0.000000e+00,9.058342e-01,1.709482e+00,4.273706e-01,0.000000e+00,8.052958e-01,1.922905e+00,2.403632e-01,0.000000e+00,0.466363,3.320393,0.415049,0.000000e+00
4096,16.857543,16.660149,1.011848,0.505924,0.000000e+00,1.244880e+01,1.354150e+00,3.385376e-01,0.000000e+00,9.285517e+00,1.815466e+00,2.269333e-01,0.000000e+00,4.586534,3.675442,0.459430,0.000000e+00
